formula,target
Na2Co2Si8H72C24N4O,0
MgNi,1
CrB2W,1
Dy6Mg(Sb5O12)2,1
Li8Mn2O9,1
Cr2Fe3P6WO24,1
H3PbCI3NF3,1
Li2VCrP2(HO5)2,1
PmPu3,1
Fe,1
Sm2As4O9,0
Na3Tl4,1
La3U2O10,1
CeSe2,1
LaGd3,1
Ca2VWO6,1
Mn5As4(HO2)10,0
MgMo3O8,1
Li5FeO4,1
Gd(SiIr)2,0
Gd3Bi(Ru2O7)2,1
SrCaO3,1
NaLi2(RuO2)6,0
Ba3LaRu2O9,0
Li2MnFeO4,1
Li4NbCo3O8,1
Sr3V4CdO14,0
Cs2LiNbS4,0
VO2F,1
V3PN,0
Li5Mn8(BO3)8,1
LaBi2IO4,0
SrZn13,0
SrCaPrSbO6,1
LiCe3,1
Sr,0
CrSnRh2,1
Mn3Re,1
Dy2Ni2Sn,0
Bi2SO2,0
K2LiAlH6,0
Y2ZnHg,1
MgAu4Se4(ClO3)4,1
MgMn3O6,1
K2AgMoBr6,1
SrLiAlF6,0
YbMnCuP2,1
Al2CrO5,1
Na9(WO3)16,1
Bi9Rh2Br3,0
LiFe2F5,1
Sc(AlFe)6,1
NaCaYCdF8,1
K3DyCl6,1
Sr3Pr10Al12Si18(N2O)18,1
Li6Co2OF11,1
Ti5InS8,1
CaTi4(CuO4)3,0
Rb2NdAgBr6,1
HfMg6Cu,1
NaTi(SiO3)2,0
SrGa4O7,0
In4Ag9,0
Ca3Sn3(AsO4)4,1
LuAl7Fe5,1
Y5Pb4,0
Dy5Ge3,0
InGe2SbTe5,1
LiTi2Co3O10,1
CsVNiF6,1
Ni4B3,0
BaCaSmNbO6,1
TiBi2(O2F)2,1
Li2Cr2O7,1
Sr2MgSi2O7,1
Nd3SiAgS7,0
MnS2(NO7)2,0
Au3Br,1
LaMg2,1
YSi2,1
Fe2S2O13,1
Rb2PrCuI6,1
Ca2SnS4,1
LiEu4C3(IN2)3,0
Ag4C(NO3)3,1
